City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port macquarie,-31.4333,152.9167,20.6,88,49,2.24,AU,1731258293
83,wongsorejo,-7.9908,114.4009,25.42,85,66,2.74,ID,1731258294
84,villa gesell,-37.2639,-56.973,21.78,65,100,3.24,AR,1731258007
85,avarua,-21.2078,-159.775,21.03,78,100,1.54,CK,1731258296
86,kristiansund,63.1115,7.732,6.74,87,75,3.6,NO,1731258297
87,pahrump,36.2083,-115.9839,17.78,17,11,2.16,US,1731258298
88,alghero,40.5589,8.3181,17.05,77,20,3.6,IT,1731258299
89,zaozersk,69.4005,32.4476,2.89,91,100,3.69,RU,1731258300
90,tralee,52.2704,-9.7026,13.14,88,75,2.06,IE,1731258190
91,greymouth,-42.4667,171.2,9.45,80,73,1.0,NZ,1731258302
92,darab,28.7519,54.5444,21.33,24,29,1.35,IR,1731258303
93,valparaiso,-33.0393,-71.6273,24.13,52,20,7.72,CL,1731258295
94,tam ky,15.5667,108.4833,21.94,92,71,2.06,VN,1731258305
95,lebu,-37.6167,-73.65,14.47,65,5,4.57,CL,1731258306
96,invercargill,-46.4,168.35,9.45,78,97,6.26,NZ,1731258307
97,ponnani,10.767,75.9252,26.0,79,12,2.68,IN,1731258308
98,sidney,-33.8679,151.2073,18.17,77,75,5.14,AU,1731258256
99,laascaanood,8.4774,47.3597,27.64,28,9,2.66,SO,1731258310
100,udachny,66.4167,112.4,-20.69,99,85,2.24,RU,1731258138
101,lompoc,34.6391,-120.4579,15.4,38,0,2.06,US,1731258300
102,dzhangala,49.2167,50.3333,2.5,86,31,3.8,KZ,1731258314
103,rozhyshche,50.9154,25.2691,3.4,89,3,2.75,UA,1731258315
104,nevel'sk,46.6733,141.8633,7.37,75,84,10.15,RU,1731258316
105,susuman,62.7833,148.1667,-34.08,98,98,0.07,RU,1731258317
106,hawaiian paradise park,19.5933,-154.9731,21.05,83,20,2.57,US,1731258318
107,siler city,35.7235,-79.4622,15.31,63,100,2.93,US,1731258319
108,badger,64.8,-147.5333,-20.86,97,35,0.66,US,1731258181
109,egilsstadir,65.2653,-14.3948,8.95,71,40,5.14,IS,1731258321
110,colonia,50.9333,6.95,10.63,86,100,0.51,DE,1731258194
111,funafuti,-8.5243,179.1942,27.0,89,40,0.0,TV,1731258323
112,nguigmi,14.2495,13.1092,26.55,27,85,1.28,NE,1731258324
113,toliara,-23.35,43.6667,24.15,79,39,3.63,MG,1731258325
